study,dataset,variable,concept,questionnaire,question_number,question_item,dataset-raw,variable-raw
soep-test,ah-raw,hkind,hkind,test-2001-hh,1,,,
soep-test,ah-raw,hkind_dummy,hkind_dummy,test-2001-hh,2,,,
soep-test,ah-raw,hkgeba,hkgeba,test-2001-hh,3,,,
soep-test,ah-raw,hkgebb,hkgebb,test-2001-hh,4,,,
soep-test,ah-raw,hkgebc,hkgebc,test-2001-hh,5,,,
soep-test,ah-raw,hkgebd,hkgebd,test-2001-hh,6,,,
soep-test,ah-raw,hvj,hvj,test-2001-hh,7,,,
soep-test,ah-raw,hwohn01,hwohn01,test-2001-hh,8,,,
soep-test,ah-raw,hm04,hm04,test-2001-hh,9,,,
soep-test,ah-raw,hnetto,hnetto,test-2001-hh,10,,,
soep-test,ah,ah01,hkind,test-2001-hh,1,,ah-raw,hkind
soep-test,ah,ah02,hkind_dummy,test-2001-hh,2,,ah-raw,hkind_dummy
soep-test,ah,ah03,hkgeba,test-2001-hh,3,,ah-raw,hkgeba
soep-test,ah,ah04,hkgebb,test-2001-hh,4,,ah-raw,hkgebb
soep-test,ah,ah05,hkgebc,test-2001-hh,5,,ah-raw,hkgebc
soep-test,ah,ah06,hkgebd,test-2001-hh,6,,ah-raw,hkgebd
soep-test,ah,ah07,hvj,test-2001-hh,7,,ah-raw,hvj
soep-test,ah,ah08,hwohn01,test-2001-hh,8,,ah-raw,hwohn01
soep-test,ah,ah09,hm04,test-2001-hh,9,,ah-raw,hm04
soep-test,ah,ah10,hnetto,test-2001-hh,10,,ah-raw,hnetto
soep-test,al-raw,lsta1,lsta1,test-2001-ll,1,,,
soep-test,al-raw,lzug01,lzug01,test-2001-ll,2,,,
soep-test,al-raw,lzug02,lzug02,test-2001-ll,3,,,
soep-test,al-raw,lwied,lwied,test-2001-ll,4,,,
soep-test,al-raw,lgesch1,lgesch1,test-2001-ll,5,,,
soep-test,al-raw,lab021,lab021,test-2001-ll,6,1,,
soep-test,al-raw,lab031,lab031,test-2001-ll,,2,,
soep-test,al-raw,lab041,lab041,test-2001-ll,,3,,
soep-test,al-raw,lab051,lab051,test-2001-ll,,4,,
soep-test,al-raw,lab061,lab061,test-2001-ll,,5,,
soep-test,al-raw,lab071,lab071,test-2001-ll,,6,,
soep-test,al-raw,lab081,lab081,test-2001-ll,,7,,
soep-test,al-raw,lkno,lkno,test-2001-ll,7,,,
soep-test,al-raw,lkind,lkind,test-2001-ll,8,,,
soep-test,al,al01,lsta1,test-2001-ll,1,,al-raw,lsta1
soep-test,al,al02,lzug01,test-2001-ll,2,,al-raw,lzug01
soep-test,al,al03,lzug02,test-2001-ll,3,,al-raw,lzug02
soep-test,al,al04,lwied,test-2001-ll,4,,al-raw,lwied
soep-test,al,al05,lgesch1,test-2001-ll,5,,al-raw,lgesch1
soep-test,al,al06,lab021,test-2001-ll,6,1,al-raw,lab021
soep-test,al,al07,lab031,test-2001-ll,,2,al-raw,lab031
soep-test,al,al08,lab041,test-2001-ll,,3,al-raw,lab041
soep-test,al,al09,lab051,test-2001-ll,,4,al-raw,lab051
soep-test,al,al10,lab061,test-2001-ll,,5,al-raw,lab061
soep-test,al,al11,lab071,test-2001-ll,,6,al-raw,lab071
soep-test,al,al12,lab081,test-2001-ll,,7,al-raw,lab081
soep-test,al,al13,lkno,test-2001-ll,7,,al-raw,lkno
soep-test,al,al14,lkind,test-2001-ll,8,,al-raw,lkind
soep-test,ap-raw,psex,psex,test-2001-pe,1,,,
soep-test,ap-raw,ppgeb,ppgeb,test-2001-pe,2,,,
soep-test,ap-raw,ppnat,ppnat,test-2001-pe,3,,,
soep-test,ap-raw,pfamst,pfamst,test-2001-pe,4,,,
soep-test,ap-raw,pfs0111,pfs0111,test-2001-pe,5,1,,
soep-test,ap-raw,pfs0211,pfs0211,test-2001-pe,,2,,
soep-test,ap-raw,pfs0311,pfs0311,test-2001-pe,,3,,
soep-test,ap-raw,pfs1111,pfs1111,test-2001-pe,,4,,
soep-test,ap-raw,pfs0411,pfs0411,test-2001-pe,,5,,
soep-test,ap-raw,pfs0511,pfs0511,test-2001-pe,,6,,
soep-test,ap-raw,pfs0611,pfs0611,test-2001-pe,,7,,
soep-test,ap-raw,pfs0711,pfs0711,test-2001-pe,,8,,
soep-test,ap-raw,pfs0811,pfs0811,test-2001-pe,,9,,
soep-test,ap-raw,pfs0911,pfs0911,test-2001-pe,,10,,
soep-test,ap-raw,pfs121,pfs121,test-2001-pe,,11,,
soep-test,ap-raw,pfs131,pfs131,test-2001-pe,,12,,
soep-test,ap-raw,pfs101,pfs101,test-2001-pe,,13,,
soep-test,ap-raw,pzule1,pzule1,test-2001-pe,6,,,
soep-test,ap-raw,pzuf01,pzuf01,test-2001-pe,7,1,,
soep-test,ap-raw,pzuf02,pzuf02,test-2001-pe,,2,,
soep-test,ap-raw,pfzuf03,pfzuf03,test-2001-pe,,3,,
soep-test,ap-raw,pzuf04,pzuf04,test-2001-pe,,4,,
soep-test,ap-raw,pzuf05,pzuf05,test-2001-pe,,5,,
soep-test,ap-raw,pzuf06,pzuf06,test-2001-pe,,6,,
soep-test,ap-raw,pzuf07,pzuf07,test-2001-pe,,7,,
soep-test,ap-raw,pzuf08,pzuf08,test-2001-pe,,8,,
soep-test,ap-raw,pzuf09,pzuf09,test-2001-pe,,9,,
soep-test,ap-raw,pzuf10,pzuf10,test-2001-pe,,10,,
soep-test,ap-raw,pzuf11,pzuf11,test-2001-pe,,11,,
soep-test,ap-raw,pber,pber,test-2001-pe,8,,,
soep-test,ap-raw,pvek012,pvek012,test-2001-pe,9,,,
soep-test,ap-raw,pvek022,pvek022,test-2001-pe,10,,,
soep-test,ap-raw,ppol1,ppol1,test-2001-pe,11,,,
soep-test,ap-raw,ppol3,ppol3,test-2001-pe,12,,,
soep-test,ap-raw,pgr,pgr,test-2001-pe,13,,,
soep-test,ap-raw,pkilo,pkilo,test-2001-pe,14,,,
soep-test,ap,ap01,psex,test-2001-pe,1,,ap-raw,psex
soep-test,ap,ap02,ppgeb,test-2001-pe,2,,ap-raw,ppgeb
soep-test,ap,ap03,ppnat,test-2001-pe,3,,ap-raw,ppnat
soep-test,ap,ap04,pfamst,test-2001-pe,4,,ap-raw,pfamst
soep-test,ap,ap05,pfs0111,test-2001-pe,5,1,ap-raw,pfs0111
soep-test,ap,ap06,pfs0211,test-2001-pe,,2,ap-raw,pfs0211
soep-test,ap,ap07,pfs0311,test-2001-pe,,3,ap-raw,pfs0311
soep-test,ap,ap08,pfs1111,test-2001-pe,,4,ap-raw,pfs1111
soep-test,ap,ap09,pfs0411,test-2001-pe,,5,ap-raw,pfs0411
soep-test,ap,ap10,pfs0511,test-2001-pe,,6,ap-raw,pfs0511
soep-test,ap,ap11,pfs0611,test-2001-pe,,7,ap-raw,pfs0611
soep-test,ap,ap12,pfs0711,test-2001-pe,,8,ap-raw,pfs0711
soep-test,ap,ap13,pfs0811,test-2001-pe,,9,ap-raw,pfs0811
soep-test,ap,ap14,pfs0911,test-2001-pe,,10,ap-raw,pfs0911
soep-test,ap,ap15,pfs121,test-2001-pe,,11,ap-raw,pfs121
soep-test,ap,ap16,pfs131,test-2001-pe,,12,ap-raw,pfs131
soep-test,ap,ap17,pfs101,test-2001-pe,,13,ap-raw,pfs101
soep-test,ap,ap18,pzule1,test-2001-pe,6,,ap-raw,pzule1
soep-test,ap,ap19,pzuf01,test-2001-pe,7,1,ap-raw,pzuf01
soep-test,ap,ap20,pzuf02,test-2001-pe,,2,ap-raw,pzuf02
soep-test,ap,ap21,pfzuf03,test-2001-pe,,3,ap-raw,pfzuf03
soep-test,ap,ap22,pzuf04,test-2001-pe,,4,ap-raw,pzuf04
soep-test,ap,ap23,pzuf05,test-2001-pe,,5,ap-raw,pzuf05
soep-test,ap,ap24,pzuf06,test-2001-pe,,6,ap-raw,pzuf06
soep-test,ap,ap25,pzuf07,test-2001-pe,,7,ap-raw,pzuf07
soep-test,ap,ap26,pzuf08,test-2001-pe,,8,ap-raw,pzuf08
soep-test,ap,ap27,pzuf09,test-2001-pe,,9,ap-raw,pzuf09
soep-test,ap,ap28,pzuf10,test-2001-pe,,10,ap-raw,pzuf10
soep-test,ap,ap29,pzuf11,test-2001-pe,,11,ap-raw,pzuf11
soep-test,ap,ap30,pber,test-2001-pe,8,,ap-raw,pber
soep-test,ap,ap31,pvek012,test-2001-pe,9,,ap-raw,pvek012
soep-test,ap,ap32,pvek022,test-2001-pe,10,,ap-raw,pvek022
soep-test,ap,ap33,ppol1,test-2001-pe,11,,ap-raw,ppol1
soep-test,ap,ap34,ppol3,test-2001-pe,12,,ap-raw,ppol3
soep-test,ap,ap35,pgr,test-2001-pe,13,,ap-raw,pgr
soep-test,ap,ap36,pkilo,test-2001-pe,14,,ap-raw,pkilo
soep-test,bh-raw,hkind,hkind,test-2002-hh,1,,,
soep-test,bh-raw,hkind_dummy,hkind_dummy,test-2002-hh,2,,,
soep-test,bh-raw,hkgeba,hkgeba,test-2002-hh,3,,,
soep-test,bh-raw,hkgebb,hkgebb,test-2002-hh,4,,,
soep-test,bh-raw,hkgebc,hkgebc,test-2002-hh,5,,,
soep-test,bh-raw,hkgebd,hkgebd,test-2002-hh,6,,,
soep-test,bh-raw,hvj,hvj,test-2002-hh,7,,,
soep-test,bh-raw,hwohn01,hwohn01,test-2002-hh,8,,,
soep-test,bh-raw,hm04,hm04,test-2002-hh,9,,,
soep-test,bh-raw,hnetto,hnetto,test-2002-hh,10,,,
soep-test,bh,bp01,hkind,test-2002-hh,1,,bh-raw,hkind
soep-test,bh,bp02,hkind_dummy,test-2002-hh,2,,bh-raw,hkind_dummy
soep-test,bh,bp03,hkgeba,test-2002-hh,3,,bh-raw,hkgeba
soep-test,bh,bp04,hkgebb,test-2002-hh,4,,bh-raw,hkgebb
soep-test,bh,bp05,hkgebc,test-2002-hh,5,,bh-raw,hkgebc
soep-test,bh,bp06,hkgebd,test-2002-hh,6,,bh-raw,hkgebd
soep-test,bh,bp07,hvj,test-2002-hh,7,,bh-raw,hvj
soep-test,bh,bp08,hwohn01,test-2002-hh,8,,bh-raw,hwohn01
soep-test,bh,bp09,hm04,test-2002-hh,9,,bh-raw,hm04
soep-test,bh,bp10,hnetto,test-2002-hh,10,,bh-raw,hnetto
soep-test,bl-raw,lsta1,lsta1,test-2002-ll,1,,,
soep-test,bl-raw,lzug01,lzug01,test-2002-ll,2,,,
soep-test,bl-raw,lzug02,lzug02,test-2002-ll,3,,,
soep-test,bl-raw,lwied,lwied,test-2002-ll,4,,,
soep-test,bl-raw,lgesch1,lgesch1,test-2002-ll,5,,,
soep-test,bl-raw,lab021,lab021,test-2002-ll,6,1,,
soep-test,bl-raw,lab031,lab031,test-2002-ll,,2,,
soep-test,bl-raw,lab041,lab041,test-2002-ll,,3,,
soep-test,bl-raw,lab051,lab051,test-2002-ll,,4,,
soep-test,bl-raw,lab061,lab061,test-2002-ll,,5,,
soep-test,bl-raw,lab071,lab071,test-2002-ll,,6,,
soep-test,bl-raw,lab081,lab081,test-2002-ll,,7,,
soep-test,bl-raw,lkno,lkno,test-2002-ll,7,,,
soep-test,bl-raw,lkind,lkind,test-2002-ll,8,,,
soep-test,bl,bl01,lsta1,test-2002-ll,1,,bl-raw,lsta1
soep-test,bl,bl02,lzug01,test-2002-ll,2,,bl-raw,lzug01
soep-test,bl,bl03,lzug02,test-2002-ll,3,,bl-raw,lzug02
soep-test,bl,bl04,lwied,test-2002-ll,4,,bl-raw,lwied
soep-test,bl,bl05,lgesch1,test-2002-ll,5,,bl-raw,lgesch1
soep-test,bl,bl06,lab021,test-2002-ll,6,1,bl-raw,lab021
soep-test,bl,bl07,lab031,test-2002-ll,,2,bl-raw,lab031
soep-test,bl,bl08,lab041,test-2002-ll,,3,bl-raw,lab041
soep-test,bl,bl09,lab051,test-2002-ll,,4,bl-raw,lab051
soep-test,bl,bl10,lab061,test-2002-ll,,5,bl-raw,lab061
soep-test,bl,bl11,lab071,test-2002-ll,,6,bl-raw,lab071
soep-test,bl,bl12,lab081,test-2002-ll,,7,bl-raw,lab081
soep-test,bl,bl13,lkno,test-2002-ll,7,,bl-raw,lkno
soep-test,bl,bl14,lkind,test-2002-ll,8,,bl-raw,lkind
soep-test,bp-raw,psex,psex,test-2002-pe,1,,,
soep-test,bp-raw,ppgeb,ppgeb,test-2002-pe,2,,,
soep-test,bp-raw,ppnat,ppnat,test-2002-pe,3,,,
soep-test,bp-raw,pfamst,pfamst,test-2002-pe,4,,,
soep-test,bp-raw,pfs0111,pfs0111,test-2002-pe,5,1,,
soep-test,bp-raw,pfs0211,pfs0211,test-2002-pe,,2,,
soep-test,bp-raw,pfs0311,pfs0311,test-2002-pe,,3,,
soep-test,bp-raw,pfs1111,pfs1111,test-2002-pe,,4,,
soep-test,bp-raw,pfs0411,pfs0411,test-2002-pe,,5,,
soep-test,bp-raw,pfs0511,pfs0511,test-2002-pe,,6,,
soep-test,bp-raw,pfs0611,pfs0611,test-2002-pe,,7,,
soep-test,bp-raw,pfs0711,pfs0711,test-2002-pe,,8,,
soep-test,bp-raw,pfs0811,pfs0811,test-2002-pe,,9,,
soep-test,bp-raw,pfs0911,pfs0911,test-2002-pe,,10,,
soep-test,bp-raw,pfs121,pfs121,test-2002-pe,,11,,
soep-test,bp-raw,pfs131,pfs131,test-2002-pe,,12,,
soep-test,bp-raw,pfs101,pfs101,test-2002-pe,,13,,
soep-test,bp-raw,pzule1,pzule1,test-2002-pe,6,,,
soep-test,bp-raw,pzuf01,pzuf01,test-2002-pe,7,1,,
soep-test,bp-raw,pzuf02,pzuf02,test-2002-pe,,2,,
soep-test,bp-raw,pfzuf03,pfzuf03,test-2002-pe,,3,,
soep-test,bp-raw,pzuf04,pzuf04,test-2002-pe,,4,,
soep-test,bp-raw,pzuf05,pzuf05,test-2002-pe,,5,,
soep-test,bp-raw,pzuf06,pzuf06,test-2002-pe,,6,,
soep-test,bp-raw,pzuf07,pzuf07,test-2002-pe,,7,,
soep-test,bp-raw,pzuf08,pzuf08,test-2002-pe,,8,,
soep-test,bp-raw,pzuf09,pzuf09,test-2002-pe,,9,,
soep-test,bp-raw,pzuf10,pzuf10,test-2002-pe,,10,,
soep-test,bp-raw,pzuf11,pzuf11,test-2002-pe,,11,,
soep-test,bp-raw,pber,pber,test-2002-pe,8,,,
soep-test,bp-raw,pvek012,pvek012,test-2002-pe,9,,,
soep-test,bp-raw,pvek022,pvek022,test-2002-pe,10,,,
soep-test,bp-raw,ppol1,ppol1,test-2002-pe,11,,,
soep-test,bp-raw,ppol3,ppol3,test-2002-pe,12,,,
soep-test,bp-raw,pgr,pgr,test-2002-pe,13,,,
soep-test,bp-raw,pkilo,pkilo,test-2002-pe,14,,,
soep-test,bp,bp01,psex,test-2002-pe,1,,bp-raw,psex
soep-test,bp,bp02,ppgeb,test-2002-pe,2,,bp-raw,ppgeb
soep-test,bp,bp03,ppnat,test-2002-pe,3,,bp-raw,ppnat
soep-test,bp,bp04,pfamst,test-2002-pe,4,,bp-raw,pfamst
soep-test,bp,bp05,pfs0111,test-2002-pe,5,1,bp-raw,pfs0111
soep-test,bp,bp06,pfs0211,test-2002-pe,,2,bp-raw,pfs0211
soep-test,bp,bp07,pfs0311,test-2002-pe,,3,bp-raw,pfs0311
soep-test,bp,bp08,pfs1111,test-2002-pe,,4,bp-raw,pfs1111
soep-test,bp,bp09,pfs0411,test-2002-pe,,5,bp-raw,pfs0411
soep-test,bp,bp10,pfs0511,test-2002-pe,,6,bp-raw,pfs0511
soep-test,bp,bp11,pfs0611,test-2002-pe,,7,bp-raw,pfs0611
soep-test,bp,bp12,pfs0711,test-2002-pe,,8,bp-raw,pfs0711
soep-test,bp,bp13,pfs0811,test-2002-pe,,9,bp-raw,pfs0811
soep-test,bp,bp14,pfs0911,test-2002-pe,,10,bp-raw,pfs0911
soep-test,bp,bp15,pfs121,test-2002-pe,,11,bp-raw,pfs121
soep-test,bp,bp16,pfs131,test-2002-pe,,12,bp-raw,pfs131
soep-test,bp,bp17,pfs101,test-2002-pe,,13,bp-raw,pfs101
soep-test,bp,bp18,pzule1,test-2002-pe,6,,bp-raw,pzule1
soep-test,bp,bp19,pzuf01,test-2002-pe,7,1,bp-raw,pzuf01
soep-test,bp,bp20,pzuf02,test-2002-pe,,2,bp-raw,pzuf02
soep-test,bp,bp21,pfzuf03,test-2002-pe,,3,bp-raw,pfzuf03
soep-test,bp,bp22,pzuf04,test-2002-pe,,4,bp-raw,pzuf04
soep-test,bp,bp23,pzuf05,test-2002-pe,,5,bp-raw,pzuf05
soep-test,bp,bp24,pzuf06,test-2002-pe,,6,bp-raw,pzuf06
soep-test,bp,bp25,pzuf07,test-2002-pe,,7,bp-raw,pzuf07
soep-test,bp,bp26,pzuf08,test-2002-pe,,8,bp-raw,pzuf08
soep-test,bp,bp27,pzuf09,test-2002-pe,,9,bp-raw,pzuf09
soep-test,bp,bp28,pzuf10,test-2002-pe,,10,bp-raw,pzuf10
soep-test,bp,bp29,pzuf11,test-2002-pe,,11,bp-raw,pzuf11
soep-test,bp,bp30,pber,test-2002-pe,8,,bp-raw,pber
soep-test,bp,bp31,pvek012,test-2002-pe,9,,bp-raw,pvek012
soep-test,bp,bp32,pvek022,test-2002-pe,10,,bp-raw,pvek022
soep-test,bp,bp33,ppol1,test-2002-pe,11,,bp-raw,ppol1
soep-test,bp,bp34,ppol3,test-2002-pe,12,,bp-raw,ppol3
soep-test,bp,bp35,pgr,test-2002-pe,13,,bp-raw,pgr
soep-test,bp,bp36,pkilo,test-2002-pe,14,,bp-raw,pkilo
soep-test,ch-raw,hkind,hkind,test-2003-hh,1,,,
soep-test,ch-raw,hkind_dummy,hkind_dummy,test-2003-hh,2,,,
soep-test,ch-raw,hkgeba,hkgeba,test-2003-hh,3,,,
soep-test,ch-raw,hkgebb,hkgebb,test-2003-hh,4,,,
soep-test,ch-raw,hkgebc,hkgebc,test-2003-hh,5,,,
soep-test,ch-raw,hkgebd,hkgebd,test-2003-hh,6,,,
soep-test,ch-raw,hvj,hvj,test-2003-hh,7,,,
soep-test,ch-raw,hwohn01,hwohn01,test-2003-hh,8,,,
soep-test,ch-raw,hm04,hm04,test-2003-hh,9,,,
soep-test,ch-raw,hnetto,hnetto,test-2003-hh,10,,,
soep-test,ch,ch01,hkind,test-2003-hh,1,,ch-raw,hkind
soep-test,ch,ch02,hkind_dummy,test-2003-hh,2,,ch-raw,hkind_dummy
soep-test,ch,ch03,hkgeba,test-2003-hh,3,,ch-raw,hkgeba
soep-test,ch,ch04,hkgebb,test-2003-hh,4,,ch-raw,hkgebb
soep-test,ch,ch05,hkgebc,test-2003-hh,5,,ch-raw,hkgebc
soep-test,ch,ch06,hkgebd,test-2003-hh,6,,ch-raw,hkgebd
soep-test,ch,ch07,hvj,test-2003-hh,7,,ch-raw,hvj
soep-test,ch,ch08,hwohn01,test-2003-hh,8,,ch-raw,hwohn01
soep-test,ch,ch09,hm04,test-2003-hh,9,,ch-raw,hm04
soep-test,ch,ch10,hnetto,test-2003-hh,10,,ch-raw,hnetto
soep-test,cl-raw,lsta1,lsta1,test-2003-ll,1,,,
soep-test,cl-raw,lzug01,lzug01,test-2003-ll,2,,,
soep-test,cl-raw,lzug02,lzug02,test-2003-ll,3,,,
soep-test,cl-raw,lwied,lwied,test-2003-ll,4,,,
soep-test,cl-raw,lgesch1,lgesch1,test-2003-ll,5,,,
soep-test,cl-raw,lab021,lab021,test-2003-ll,6,1,,
soep-test,cl-raw,lab031,lab031,test-2003-ll,,2,,
soep-test,cl-raw,lab041,lab041,test-2003-ll,,3,,
soep-test,cl-raw,lab051,lab051,test-2003-ll,,4,,
soep-test,cl-raw,lab061,lab061,test-2003-ll,,5,,
soep-test,cl-raw,lab071,lab071,test-2003-ll,,6,,
soep-test,cl-raw,lab081,lab081,test-2003-ll,,7,,
soep-test,cl-raw,lkno,lkno,test-2003-ll,7,,,
soep-test,cl-raw,lkind,lkind,test-2003-ll,8,,,
soep-test,cl,cl01,lsta1,test-2003-ll,1,,cl-raw,lsta1
soep-test,cl,cl02,lzug01,test-2003-ll,2,,cl-raw,lzug01
soep-test,cl,cl03,lzug02,test-2003-ll,3,,cl-raw,lzug02
soep-test,cl,cl04,lwied,test-2003-ll,4,,cl-raw,lwied
soep-test,cl,cl05,lgesch1,test-2003-ll,5,,cl-raw,lgesch1
soep-test,cl,cl06,lab021,test-2003-ll,6,1,cl-raw,lab021
soep-test,cl,cl07,lab031,test-2003-ll,,2,cl-raw,lab031
soep-test,cl,cl08,lab041,test-2003-ll,,3,cl-raw,lab041
soep-test,cl,cl09,lab051,test-2003-ll,,4,cl-raw,lab051
soep-test,cl,cl10,lab061,test-2003-ll,,5,cl-raw,lab061
soep-test,cl,cl11,lab071,test-2003-ll,,6,cl-raw,lab071
soep-test,cl,cl12,lab081,test-2003-ll,,7,cl-raw,lab081
soep-test,cl,cl13,lkno,test-2003-ll,7,,cl-raw,lkno
soep-test,cl,cl14,lkind,test-2003-ll,8,,cl-raw,lkind
soep-test,cp-raw,psex,psex,test-2003-pe,1,,,
soep-test,cp-raw,ppgeb,ppgeb,test-2003-pe,2,,,
soep-test,cp-raw,ppnat,ppnat,test-2003-pe,3,,,
soep-test,cp-raw,pfamst,pfamst,test-2003-pe,4,,,
soep-test,cp-raw,pfs0111,pfs0111,test-2003-pe,5,1,,
soep-test,cp-raw,pfs0211,pfs0211,test-2003-pe,,2,,
soep-test,cp-raw,pfs0311,pfs0311,test-2003-pe,,3,,
soep-test,cp-raw,pfs1111,pfs1111,test-2003-pe,,4,,
soep-test,cp-raw,pfs0411,pfs0411,test-2003-pe,,5,,
soep-test,cp-raw,pfs0511,pfs0511,test-2003-pe,,6,,
soep-test,cp-raw,pfs0611,pfs0611,test-2003-pe,,7,,
soep-test,cp-raw,pfs0711,pfs0711,test-2003-pe,,8,,
soep-test,cp-raw,pfs0811,pfs0811,test-2003-pe,,9,,
soep-test,cp-raw,pfs0911,pfs0911,test-2003-pe,,10,,
soep-test,cp-raw,pfs121,pfs121,test-2003-pe,,11,,
soep-test,cp-raw,pfs131,pfs131,test-2003-pe,,12,,
soep-test,cp-raw,pfs101,pfs101,test-2003-pe,,13,,
soep-test,cp-raw,pzuf01,pzuf01,test-2003-pe,6,1,,
soep-test,cp-raw,pzuf02,pzuf02,test-2003-pe,,2,,
soep-test,cp-raw,pfzuf03,pfzuf03,test-2003-pe,,3,,
soep-test,cp-raw,pzuf04,pzuf04,test-2003-pe,,4,,
soep-test,cp-raw,pzuf05,pzuf05,test-2003-pe,,5,,
soep-test,cp-raw,pzuf06,pzuf06,test-2003-pe,,6,,
soep-test,cp-raw,pzuf07,pzuf07,test-2003-pe,,7,,
soep-test,cp-raw,pzuf08,pzuf08,test-2003-pe,,8,,
soep-test,cp-raw,pzuf09,pzuf09,test-2003-pe,,9,,
soep-test,cp-raw,pzuf10,pzuf10,test-2003-pe,,10,,
soep-test,cp-raw,pzuf11,pzuf11,test-2003-pe,,11,,
soep-test,cp-raw,pber,pber,test-2003-pe,7,,,
soep-test,cp-raw,pvek012,pvek012,test-2003-pe,8,,,
soep-test,cp-raw,pvek022,pvek022,test-2003-pe,9,,,
soep-test,cp-raw,ppol1,ppol1,test-2003-pe,10,,,
soep-test,cp-raw,ppol3,ppol3,test-2003-pe,11,,,
soep-test,cp-raw,pgr,pgr,test-2003-pe,12,,,
soep-test,cp-raw,pkilo,pkilo,test-2003-pe,13,,,
soep-test,cp,cp01,psex,test-2003-pe,1,,cp-raw,psex
soep-test,cp,cp02,ppgeb,test-2003-pe,2,,cp-raw,ppgeb
soep-test,cp,cp03,ppnat,test-2003-pe,3,,cp-raw,ppnat
soep-test,cp,cp04,pfamst,test-2003-pe,4,,cp-raw,pfamst
soep-test,cp,cp05,pfs0111,test-2003-pe,5,1,cp-raw,pfs0111
soep-test,cp,cp06,pfs0211,test-2003-pe,,2,cp-raw,pfs0211
soep-test,cp,cp07,pfs0311,test-2003-pe,,3,cp-raw,pfs0311
soep-test,cp,cp08,pfs1111,test-2003-pe,,4,cp-raw,pfs1111
soep-test,cp,cp09,pfs0411,test-2003-pe,,5,cp-raw,pfs0411
soep-test,cp,cp10,pfs0511,test-2003-pe,,6,cp-raw,pfs0511
soep-test,cp,cp11,pfs0611,test-2003-pe,,7,cp-raw,pfs0611
soep-test,cp,cp12,pfs0711,test-2003-pe,,8,cp-raw,pfs0711
soep-test,cp,cp13,pfs0811,test-2003-pe,,9,cp-raw,pfs0811
soep-test,cp,cp14,pfs0911,test-2003-pe,,10,cp-raw,pfs0911
soep-test,cp,cp15,pfs121,test-2003-pe,,11,cp-raw,pfs121
soep-test,cp,cp16,pfs131,test-2003-pe,,12,cp-raw,pfs131
soep-test,cp,cp17,pfs101,test-2003-pe,,13,cp-raw,pfs101
soep-test,cp,cp18,pzuf01,test-2003-pe,6,1,cp-raw,pzuf01
soep-test,cp,cp19,pzuf02,test-2003-pe,,2,cp-raw,pzuf02
soep-test,cp,cp20,pfzuf03,test-2003-pe,,3,cp-raw,pfzuf03
soep-test,cp,cp21,pzuf04,test-2003-pe,,4,cp-raw,pzuf04
soep-test,cp,cp22,pzuf05,test-2003-pe,,5,cp-raw,pzuf05
soep-test,cp,cp23,pzuf06,test-2003-pe,,6,cp-raw,pzuf06
soep-test,cp,cp24,pzuf07,test-2003-pe,,7,cp-raw,pzuf07
soep-test,cp,cp25,pzuf08,test-2003-pe,,8,cp-raw,pzuf08
soep-test,cp,cp26,pzuf09,test-2003-pe,,9,cp-raw,pzuf09
soep-test,cp,cp27,pzuf10,test-2003-pe,,10,cp-raw,pzuf10
soep-test,cp,cp28,pzuf11,test-2003-pe,,11,cp-raw,pzuf11
soep-test,cp,cp29,pber,test-2003-pe,7,,cp-raw,pber
soep-test,cp,cp30,pvek012,test-2003-pe,8,,cp-raw,pvek012
soep-test,cp,cp31,pvek022,test-2003-pe,9,,cp-raw,pvek022
soep-test,cp,cp32,ppol1,test-2003-pe,10,,cp-raw,ppol1
soep-test,cp,cp33,ppol3,test-2003-pe,11,,cp-raw,ppol3
soep-test,cp,cp34,pgr,test-2003-pe,12,,cp-raw,pgr
soep-test,cp,cp35,pkilo,test-2003-pe,13,,cp-raw,pkilo
soep-test,ahgen,averageinc,,,,,,
soep-test,ahgen,hhmitglieder,,,,,,
soep-test,apgen,BMI,,,,,,
soep-test,bhgen,averageinc,,,,,,
soep-test,bhgen,hhmitglieder,,,,,,
soep-test,bpgen,BMI,,,,,,
soep-test,chgen ,averageinc,,,,,,
soep-test,chgen ,hhmitglieder,,,,,,
soep-test,cpgen,BMI,,,,,,
